drugs,mean,lower bound,upper bound
trazodone,-0.05664782608695653,-0.0590684874207816,-0.05422716475313146
amitriptyline,-0.022064705882352945,-0.025945647631017484,-0.018183764133688406
fluoxetine,-0.02326575342465754,-0.02673490533247244,-0.019796601516842635
citalopram,-0.01455373134328359,-0.018361036164318736,-0.010746426522248442
paroxetine,0.023859090909090906,0.016895203167232264,0.03082297865094955
venlafaxine,-0.07698627450980391,-0.08116986497214519,-0.07280268404746264
vilazodone,-0.29229999999999995,-0.29229999999999995,-0.29229999999999995
vortioxetine,-0.03016666666666667,-0.04267274440127363,-0.017660588932059712
sertraline,-0.05516131386861314,-0.057666068510726684,-0.0526565592264996
bupropion,-0.028834759358288775,-0.03199876039312676,-0.025670758323450785
mirtazapine,-0.06425833333333333,-0.06944209212675825,-0.059074574539908414
desvenlafaxine,-0.10493636363636366,-0.11944665701147658,-0.09042607026125074
doxepin,0.03280526315789474,0.019074952974039796,0.04653557334174968
duloxetine,-0.027911111111111116,-0.0315065655004065,-0.02431565672181573
escitalopram,-0.05162170542635659,-0.054220174987432035,-0.04902323586528115
nortriptyline,-0.0027375000000000034,-0.009114471605943107,0.0036394716059431
